op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
add,uint8,tile,height,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,tile,width,OK,pass,[0.1..0.85],0.999987,1.000
add,bfloat8_b,tile,width,OK,pass,[0.1..0.85],0.999843,9.000
add,bfloat4_b,tile,width,OK,pass,[0.1..0.85],0.968769,
add,float32,tile,width,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,tile,width,OK,pass,[1..49],0.999999,
add,uint32,tile,width,OK,pass,[1..49],0.999999,
add,uint16,tile,width,OK,pass,[1..49],1.000000,
add,uint8,tile,width,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,tile,block,OK,pass,[0.1..0.85],0.999986,1.000
add,bfloat8_b,tile,block,OK,pass,[0.1..0.85],0.999837,7.000
add,bfloat4_b,tile,block,OK,pass,[0.1..0.85],0.964878,
add,float32,tile,block,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,tile,block,OK,pass,[1..49],1.000000,
add,uint32,tile,block,OK,pass,[1..49],1.000000,
add,uint16,tile,block,OK,pass,[1..49],1.000000,
add,uint8,tile,block,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,rm,dram,OK,pass,[0.1..0.85],0.999985,1.000
add,bfloat8_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
add,bfloat4_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
add,float32,rm,dram,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,rm,dram,OK,pass,[1..49],1.000000,
add,uint32,rm,dram,OK,pass,[1..49],1.000000,
add,uint16,rm,dram,OK,pass,[1..49],1.000000,
add,uint8,rm,dram,FAIL,"TT_FATAL @ /home/ubuntu/tt-metal/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::ADD",[1..49],,
add,bfloat16,rm,l1,OK,pass,[0.1..0.85],0.999987,1.000
add,bfloat8_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
add,bfloat4_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
add,float32,rm,l1,OK,pass,[0.1..0.85],1.000000,0.000
add,int32,rm,l1,OK,pass,[1..49],1.000000,
add,uint32,rm,l1,OK,pass,[1..49],1.000000,
add,uint16,rm,l1,OK,pass,[1..49],0.999999,
